Établissement;Département de l’établissement;Région de l’établissement;Académie de l’établissement;Commune de l’établissement;Filière de formation;Capacité de l’établissement par formation;Effectif total des candidats pour une formation;Effectif total des candidats ayant reçu une proposition d’admission de la part de l’établissement;Effectif total des candidats ayant accepté la proposition de l’établissement (admis);Taux d’accès
IUT 1 GRENOBLE;Isère;Auvergne-Rhône-Alpes;Grenoble;Saint-Martin-d'Hères;BUT - Génie civil - Construction durable;104;2225;542;100;40.0
IUT 1 GRENOBLE;Isère;Auvergne-Rhône-Alpes;Grenoble;Saint-Martin-d'Hères;BUT - Métiers de la Transition et de l'Efficacité Énergétiques;122;1109;776;91;84.0
IUT 1 GRENOBLE;Isère;Auvergne-Rhône-Alpes;Grenoble;Saint-Martin-d'Hères;BUT - Réseaux et télécommunications;78;993;407;72;53.0
Lycée Pierre Termier;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;16;153;75;11;67.0
Lycée Robin;Isère;Auvergne-Rhône-Alpes;Grenoble;Vienne;BTS - Services - Comptabilité et gestion;15;93;62;14;79.0
I.U.T. 2 de Grenoble;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;BUT - Informatique;120;2324;787;126;47.0
I.U.T. 2 de Grenoble;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;BUT - Gestion des entreprises et des administrations;140;3266;498;139;16.0
I.U.T. 2 de Grenoble;Isère;Auvergne-Rhône-Alpes;Grenoble;Grenoble;Diplôme de Comptabilité et de Gestion;50;1737;491;39;58.0
Lycée agricole Agro-Environnemental;Isère;Auvergne-Rhône-Alpes;Grenoble;La Côte-Saint-André;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole;16;138;83;18;94.0
Lycée agricole Agro-Environnemental;Isère;Auvergne-Rhône-Alpes;Grenoble;La Côte-Saint-André;BTS - Agricole - Agronomie et cultures durables;16;159;60;4;85.0
Université Grenoble Alpes;Isère;Auvergne-Rhône-Alpes;Grenoble;Saint-Martin-d'Hères;Licence - Langues étrangères appliquées - Parcours Anglais-Russe;15;56;49;8;100.0
Lycée PHILIPPINE DUCHESNE ITEC BOISFLEURY;Isère;Auvergne-Rhône-Alpes;Grenoble;Corenc;BTS - Services - Négociation et digitalisation de la Relation Client;30;334;165;20;51.0
Lycée Roger Deschaux;Isère;Auvergne-Rhône-Alpes;Grenoble;Sassenage;BTS - Production - Bâtiment;30;414;155;23;60.0
Lycée Agricole Paul Claudel;Isère;Auvergne-Rhône-Alpes;Grenoble;Villemoirieu;BTS - Agricole - Technico-commercial - Spécialité alimentation et boisson;20;45;29;9;93.0
Lycée des Métiers - Léonard de Vinci;Isère;Auvergne-Rhône-Alpes;Grenoble;Villefontaine;BTS - Services - Métiers de l'audio-visuel opt : métiers de l'image;10;1014;24;10;3.0
Lycée La Pléiade;Isère;Auvergne-Rhône-Alpes;Grenoble;Pont-de-Chéruy;BTS - Services - Commerce International;14;396;70;14;33.0
Lycée Philibert Delorme;Isère;Auvergne-Rhône-Alpes;Grenoble;L'Isle-d'Abeau;BTS - Services - Gestion de la PME;32;320;127;32;47.0
