Établissement;Département de l’établissement;Région de l’établissement;Académie de l’établissement;Commune de l’établissement;Filière de formation;Capacité de l’établissement par formation;Effectif total des candidats pour une formation;Effectif total des candidats ayant reçu une proposition d’admission de la part de l’établissement;Effectif total des candidats ayant accepté la proposition de l’établissement (admis);Taux d’accès
Université Paris Nanterre;Hauts-de-Seine;Ile-de-France;Versailles;Nanterre;Licence - Lettres - Parcours Lettres - littérature française, francophone et comparée - Entièrement en distanciel;75;464;360;73;100.0
Université Paris Nanterre;Hauts-de-Seine;Ile-de-France;Versailles;Nanterre;Licence - Philosophie - Entièrement en distanciel;185;703;421;190;66.0
Université Paris Nanterre;Hauts-de-Seine;Ile-de-France;Versailles;Nanterre;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Espagnol - Entièrement en distanciel;65;307;235;63;100.0
Université Paris Nanterre;Hauts-de-Seine;Ile-de-France;Versailles;Nanterre;Licence - Langues étrangères appliquées - Parcours Allemand-Anglais - Entièrement en distanciel;35;229;155;35;84.0
Université Paris 8;Seine-Saint-Denis;Ile-de-France;Créteil;Saint-Denis;Double licence - Histoire / Langues, littératures et civilisations étrangères et régionales -  Parcours Mondes anglophones;35;852;174;35;47.0
Université de Lille;Nord;Hauts-de-France;Lille;Lille;Licence - Science politique;425;5759;1918;423;38.0
Lycée Jean Zay;Meurthe-et-Moselle;Grand-Est;Nancy-Metz;Jarny;BTS - Production - Aéronautique;15;544;87;15;37.0
Université Paris 1 Panthéon Sorbonne;Paris;Ile-de-France;Paris;Paris  5e  Arrondissement;Licence - Arts plastiques - Entièrement en distanciel;250;1333;633;241;54.0
Université Côte d'Azur;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;Nice;Double licence - Philosophie / Droit - Double licence Philosophie - Droit;35;700;209;31;56.0
IUT 1 GRENOBLE;Isère;Auvergne-Rhône-Alpes;Grenoble;Saint-Martin-d'Hères;Formation d'ingénieur Bac + 5 - bac STI2D;6;224;26;6;29.0
Lycée des Métiers le Corbusier de Soissons;Aisne;Hauts-de-France;Amiens;Soissons;BTS - Services - Management en hôtellerie restauration;35;88;83;19;100.0
Université de Montpellier, Antenne de Nîmes;Gard;Occitanie;Montpellier;Nîmes;Licence - Sciences et technologies - Parcours Pluridisciplinarité et métiers de l’enseignement, de l’éducation et de la formation;68;441;308;70;87.0
Lycée Victor Louis;Gironde;Nouvelle Aquitaine;Bordeaux;Talence;BTS - Services - Management Commercial Opérationnel;18;1532;128;12;15.0
Lycée professionnel Jean Moulin;Côtes-d'Armor;Bretagne;Rennes;Saint-Brieuc;BTS - Agricole - Développement, animation des territoires ruraux;19;117;77;10;87.0
Avignon Université;Vaucluse;Provence-Alpes-Côte d'Azur;Aix-Marseille;Avignon;C.M.I - Cursus Master en Ingénierie - Histoire - Cursus Master en Ingénierie (CMI) :  Ingénierie en Histoire et Multimédia;20;39;29;10;74.0
Lycée Paul Constans;Allier;Auvergne-Rhône-Alpes;Clermont-Ferrand;Montluçon;BTS - Services - Gestion de la PME;35;245;143;31;67.0
Lycée professionnel Erik Satie;Paris;Ile-de-France;Paris;Paris 14e  Arrondissement;BTS - Services - Professions immobilières;24;1187;192;29;22.0
Lycée professionnel Georges Cisson;Var;Provence-Alpes-Côte d'Azur;Nice;Toulon;Certificat de Spécialisation - Mécatronique navale;24;64;31;13;71.0
Centre de Ressources, d'Expertise et de Performance Sportive de Bordeaux (CREPS);Gironde;Nouvelle Aquitaine;Bordeaux;Talence;BPJEPS - Spécialité Educateur sportif - Mention Activités physiques pour tous;10;501;20;10;4.0
Centre de Ressources, d'Expertise et de Performance Sportive de Bordeaux (CREPS);Gironde;Nouvelle Aquitaine;Bordeaux;Talence;BPJEPS - Spécialité Educateur sportif - Mention Judo-Jujitsu;6;71;16;6;27.0
Centre de Ressources, d'Expertise et de Performance Sportive de Nancy (CREPS);Meurthe-et-Moselle;Grand-Est;Nancy-Metz;Essey-lès-Nancy;BPJEPS - Spécialité Educateur sportif - Mention Activités de la forme;3;173;3;2;2.0
Lycée Général et Technologique Albert Londres;Allier;Auvergne-Rhône-Alpes;Clermont-Ferrand;Cusset;BTS - Production - Développement et Réalisation Bois;12;117;38;11;36.0
Centre de Ressources, d'Expertise et de Performance Sportive de Nancy (CREPS);Meurthe-et-Moselle;Grand-Est;Nancy-Metz;Essey-lès-Nancy;BPJEPS - Spécialité Educateur sportif - Mention Activités physiques pour tous;3;105;5;2;5.0
Centre de Ressources, d'Expertise et de Performance Sportive Antilles-Guyane (CREPS);Guadeloupe;Guadeloupe;Guadeloupe;Les Abymes;BPJEPS - Spécialité Educateur sportif - Mention Activités physiques pour tous;15;141;17;15;12.0
Lycée Général et Technologique Albert Londres;Allier;Auvergne-Rhône-Alpes;Clermont-Ferrand;Cusset;BTS - Services - Négociation et digitalisation de la Relation Client;35;405;163;33;45.0
Centre de Ressources, d'Expertise et de Performance Sportive du Centre (CREPS);Cher;Centre;Orléans-Tours;Bourges;BPJEPS - Spécialité Educateur sportif - Mention Activités physiques pour tous;10;199;15;6;10.0
LEGTPA du Bourbonnais / Site de Moulins;Allier;Auvergne-Rhône-Alpes;Clermont-Ferrand;Neuvy;BTS - Agricole - Développement, animation des territoires ruraux;19;73;55;6;98.0
I.U.T Clermont Auvergne - site de Montluçon;Allier;Auvergne-Rhône-Alpes;Clermont-Ferrand;Montluçon;BUT - Génie électrique et informatique industrielle;52;389;222;27;80.0
I.U.T Clermont Auvergne - site de Montluçon;Allier;Auvergne-Rhône-Alpes;Clermont-Ferrand;Montluçon;BUT - Métiers de la Transition et de l'Efficacité Énergétiques;52;361;248;24;89.0
I.U.T Clermont Auvergne - site de Montluçon;Allier;Auvergne-Rhône-Alpes;Clermont-Ferrand;Montluçon;BUT - Management de la Logistique et des Transports;56;232;143;35;76.0
Centre de Ressources, d’Expertise et de Performance Sportive d’Auvergne Rhône-Alpes Vallon-Pont-d'Arc (CREPS);Ardèche;Auvergne-Rhône-Alpes;Grenoble;Vallon-Pont-d'Arc;DEJEPS - Spécialité Perfectionnement sportif - MentionVélo tout terrain;3;72;4;2;3.0
I.U.T Clermont Auvergne - site de Montluçon;Allier;Auvergne-Rhône-Alpes;Clermont-Ferrand;Montluçon;BUT - Techniques de commercialisation;112;1146;556;106;58.0
ES Vichy;Allier;Auvergne-Rhône-Alpes;Clermont-Ferrand;Vichy;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;30;102;70;14;80.0
ES Vichy;Allier;Auvergne-Rhône-Alpes;Clermont-Ferrand;Vichy;BTS - Services - Management Commercial Opérationnel;24;235;123;20;77.0
Université de Strasbourg;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Études néo-helléniques : langues et cultures grecques modernes;20;60;56;7;100.0
Lycée Alexandre Dumas (Hotelier);Bas-Rhin;Grand-Est;Strasbourg;Illkirch-Graffenstaden;Certificat de Spécialisation - Accueil-réception;12;98;36;12;58.0
Lycée Anna Rodier;Allier;Auvergne-Rhône-Alpes;Clermont-Ferrand;Moulins;BTS - Services - Gestion de la PME;24;61;55;10;90.0
Université de Strasbourg;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;Licence - Droit - Parcours Droits européens;40;654;86;39;20.0
Lycée Valery Larbaud;Allier;Auvergne-Rhône-Alpes;Clermont-Ferrand;Cusset;BTS - Services - Opticien-Lunetier;30;394;118;29;36.0
Lycée Valery Larbaud;Allier;Auvergne-Rhône-Alpes;Clermont-Ferrand;Cusset;BTS - Services - Diététique;24;492;171;23;44.0
Lycée Edgar Faure;Doubs;Bourgogne-Franche-Comté;Besancon;Morteau;DN MADE - Objet - Spécialité : luxe et innovation en horlogerie : produits et technologies d'exception;15;360;18;15;5.0
Lycée Pasteur Mont Roland;Jura;Bourgogne-Franche-Comté;Besancon;Dole;DN MADE - Spectacle - Spécialité : Costume de scène, dramaturgie et mobilité européenne;18;273;40;18;18.0
Lycée La Martinière-Diderot;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 1er Arrondissement;DN MADE - Mode - Spécialité : Laboratoire de design : prospecter / réaliser;15;944;40;16;5.0
Lycée La Martinière-Diderot;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 1er Arrondissement;DN MADE - Spectacle - Spécialité : Costume formes-couleurs-matériaux/exploration et réalisation;15;777;29;16;3.0
Lycée Le Paraclet;Finistère;Bretagne;Rennes;Quimper;DN MADE - Graphisme - Spécialité : Design graphique des médias imprimés numériques;20;247;70;24;39.0
Lycée professionnel Jean Jaures;Ille-et-Vilaine;Bretagne;Rennes;Rennes;DN MADE - Instrument - Spécialité : Création, innovation et tradition horlogères;12;216;36;12;23.0
Lycée La Martinière-Diderot;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 1er Arrondissement;DN MADE - Objet - Spécialité : Savoir-faire/produit/innovation sociale : inventer le design;15;657;73;18;18.0
Lycée des métiers de la céramique Henry Moisand;Côte-d'Or;Bourgogne-Franche-Comté;Dijon;Longchamp;DN MADE - Objet - Spécialité : Conception et innovation céramique, du prototype au multiple;15;221;108;18;82.0
Lycée professionnel Des Métiers d'Art SEPR;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon;DN MADE - Numérique - Spécialité : Identité numérique de l'objet d'art;15;232;56;16;24.0
Lycée de la Communication Saint Géraud;Cantal;Auvergne-Rhône-Alpes;Clermont-Ferrand;Aurillac;DN MADE - Matériaux - Spécialité : Textile et savoir-faire écoresponsable, création et recherche;18;92;66;16;91.0
Lycée Hector Guimard;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 7e  Arrondissement;BTS - Production - Conception de processus de découpe et d'emboutissage;12;106;74;14;100.0
Lycée D'Altitude;Hautes-Alpes;Provence-Alpes-Côte d'Azur;Aix-Marseille;Briançon;BTS - Production - Maintenance des systèmes - option A Systèmes de production;15;36;29;6;97.0
Lycée Des Arènes;Haute-Garonne;Occitanie;Toulouse;Toulouse;DN MADE - Graphisme - Spécialité : Édition et narration transmédia;15;646;43;15;10.0
Lycée Auguste Renoir;Paris;Ile-de-France;Paris;Paris 18e  Arrondissement;DN MADE - Objet - Spécialité : Objets et systèmes d'objets céramique;10;284;33;10;14.0
Université d'Orléans - Centre Univ. de Bourges (Bourges);Cher;Centre;Orléans-Tours;Bourges;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives;60;1690;533;56;46.0
Lycée Lucas De Nehou;Paris;Ile-de-France;Paris;Paris  5e  Arrondissement;DN MADE - Matériaux - Spécialité : Verre, espace, objet;15;277;57;15;21.0
Lycée L'Initiative;Paris;Ile-de-France;Paris;Paris 19e  Arrondissement;DN MADE - Graphisme - Spécialité : Design collaboratif social et solidaire;14;333;69;12;29.0
Institut Sainte-Genevieve;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;DN MADE - Objet - Spécialité : Concevoir l’unique et la série;18;191;68;17;41.0
ESAA Boulle;Paris;Ile-de-France;Paris;Paris 12e  Arrondissement;DN MADE - Espace - Spécialité : Architecture intérieure;15;3059;36;15;2.0
Institut Catholique de Paris (ICP)- Campus de Paris;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;Licence - Histoire - Parcours Histoire-Science politique;220;3126;1096;237;36.0
Centre de Ressources, d'Expertise et de Performance Sportive - CREPS DE VICHY AUVERGNE;Allier;Auvergne-Rhône-Alpes;Clermont-Ferrand;Bellerive-sur-Allier;BPJEPS - Spécialité Educateur sportif - Mention Activités physiques pour tous;10;225;10;5;4.0
Lycée professionnel des Métiers Jean-Baptiste Clément;Ardennes;Grand-Est;Reims;Sedan;Certificat de Spécialisation - Maintenance des installations oléohydrauliques et pneumatiques;15;47;27;15;100.0
Lycée professionnel Roger Claustres;Puy-de-dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;Clermont-Ferrand;Certificat de Spécialisation - Technicien(ne) en chaudronnerie aéronautique et spatiale;12;84;28;8;48.0
Campus Sainte Marguerite;Indre-et-Loire;Centre;Orléans-Tours;Chambray-lès-Tours;DN MADE - Graphisme;22;501;103;21;24.0
Lycée Jean Dupuy;Hautes-Pyrénées;Occitanie;Toulouse;Tarbes;Certificat de Spécialisation - Technicien(ne) en chaudronnerie aéronautique et spatiale;12;50;28;2;74.0
Lycée du Gué-à-Tresmes;Seine-et-Marne;Ile-de-France;Créteil;Congis-sur-Thérouanne;DN MADE - Espace - Spécialité : Environnements pérennes et éphémères;15;236;62;15;34.0
Lycée Adolphe Cherioux;Val-de-Marne;Ile-de-France;Créteil;Vitry-sur-Seine;DN MADE - Événement - Spécialité : Scénographie des événements culturels;12;415;86;12;30.0
Lycée Adolphe Cherioux;Val-de-Marne;Ile-de-France;Créteil;Vitry-sur-Seine;DN MADE - Espace - Spécialité : Conception des paysages urbains partagés;12;443;52;12;22.0
Lycée Camille Claudel;Val-d'oise;Ile-de-France;Versailles;Vauréal;DN MADE - Objet - Spécialité : Innovation sociale;15;184;80;13;67.0
Institut Sainte-Genevieve;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;DN MADE - Animation - Spécialité : Cinéma d'animation au service du réel;16;609;67;16;10.0
Lycée Estienne Esaig;Paris;Ile-de-France;Paris;Paris 13e  Arrondissement;DN MADE - Livre - Spécialité : Objet-livre - création éditoriale;12;487;25;11;6.0
Esaa Duperré;Paris;Ile-de-France;Paris;Paris  3e  Arrondissement;DN MADE - Mode - Spécialité : Stylisme, image et médiatisation;12;1899;14;12;1.0
Esaa Duperré;Paris;Ile-de-France;Paris;Paris  3e  Arrondissement;DN MADE - Mode - Spécialité : Collection, vêtements et accessoires;24;2406;33;23;1.0
ECOLE NATIONALE SUPERIEURE A.A-MET.D'ART.;Paris;Ile-de-France;Paris;Paris 15e  Arrondissement;DN MADE - Objet - Spécialité : DESIGN DE PRODUITS, OBJETS D'EXCEPTION ET PRATIQUES SINGULIERES;15;983;55;16;8.0
Lycée professionnel Des Métiers d'Art SEPR;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon;DN MADE - Objet - Spécialité : Création et réalisation de mobilier contemporain;15;279;70;16;32.0
Lycée Edgar Faure;Doubs;Bourgogne-Franche-Comté;Besancon;Morteau;DN MADE - Objet - Spécialité : luxe et innovation en joaillerie : produits et technologies d'exception;15;708;36;15;5.0
Lycée Pierre Et Marie Curie;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;Menton;BTS - Services - Support à l'action managériale;30;183;81;23;60.0
Lycée professionnel La Trinite;Martinique;Martinique;Martinique;La Trinité;BTS - Services - Economie sociale familiale;24;203;77;24;46.0
Lycée Joseph Gaillard;Martinique;Martinique;Martinique;Fort-de-France;BTS - Production - Conception et Réalisation de Systèmes Automatiques;24;79;62;19;98.0
Lycée Rouvière;Var;Provence-Alpes-Côte d'Azur;Nice;Toulon;BTS - Production - Contrôle industriel et régulation automatique - Parcours Marine Nationale / Maistrance - Défense;3;78;12;3;19.0
IFEPSA - Facultés libres de l'ouest - UCO;Maine-et-Loire;Pays-de-la-Loire;Nantes;Les Ponts-de-Cé;Licence - Sciences et Techniques des Activités Physiques et Sportives - Parcours STAPS ACCESS - option APT;25;183;68;25;39.0
Lycée professionnel des Métiers Eugene MONTEL;Haute-Garonne;Occitanie;Toulouse;Colomiers;Certificat de Spécialisation - Technicien(ne) en soudage;12;78;40;10;42.0
Lycée Estienne Esaig;Paris;Ile-de-France;Paris;Paris 13e  Arrondissement;DN MADE - Numérique - Spécialité : Designer graphique numérique option interface;8;655;27;8;6.0
Lycée Masséna;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;Nice;CPGE - MPSI;96;2636;354;96;20.0
Université de Pau et des pays de l'Adour - Collège SSH (Anglet);Pyrénées-atlantiques;Nouvelle Aquitaine;Bordeaux;Anglet;Licence - Sciences et Techniques des Activités Physiques et Sportives - Parcours STAPS - Sciences et Techniques des Activités Physiques et Sportives;50;1819;170;50;11.0
Lycée Stella;La Réunion;Réunion;La Réunion;Saint-Leu;Certificat de Spécialisation - Aéronautique option avions à moteurs à turbines;12;57;16;12;41.0
Lycée Masséna;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;Nice;CPGE - Lettres;96;1090;463;90;95.0
Lycée Beaupré;Nord;Hauts-de-France;Lille;Haubourdin;Certificat de Spécialisation - Animation-gestion de projets dans le secteur sportif;24;95;76;16;98.0
Lycée Albert Calmette;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;Nice;BTS - Services - Management Commercial Opérationnel;35;1076;203;33;27.0
Lycée Honoré d'Estienne d'Orves (Beau-Site);Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;Nice;BTS - Services - Service et prestation des secteurs sanitaire et social;24;319;139;17;60.0
Lycée Honoré d'Estienne d'Orves (Beau-Site);Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;Nice;BTS - Services - Support à l'action managériale;48;436;229;47;68.0
Lycée professionnel Saint Joseph;Var;Provence-Alpes-Côte d'Azur;Nice;Ollioules;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;12;150;29;13;30.0
Lycée Colbert;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 8e  Arrondissement;BTS - Services - Négociation et digitalisation de la Relation Client;35;2485;200;33;9.0
Lycée Honoré d'Estienne d'Orves (Beau-Site);Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;Nice;BTS - Services - Comptabilité et gestion;70;748;355;76;67.0
Lycée professionnel privé Numérique des Métiers EPIL (Campus Sup' Groupe OEC);Nord;Hauts-de-France;Lille;Lille;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air;18;47;43;17;100.0
Lycée Marcel Cachin;Seine-Saint-Denis;Ile-de-France;Créteil;Saint-Ouen-sur-Seine;Certificat de Spécialisation - Animation-gestion de projets dans le secteur sportif;15;67;46;15;79.0
Lycée Les Eucalyptus;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;Nice;CPGE - PCSI;48;1081;524;55;65.0
Lycée Jean Moulin;Nord;Hauts-de-France;Lille;Roubaix;FCIL classe passerelle BTS;20;0;8;2;
Lycée Auguste Behal;Pas-de-Calais;Hauts-de-France;Lille;Lens;FCIL classe passerelle BTS;10;0;19;8;
Lycée Sasserno;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;Nice;BTS - Services - Diététique;36;317;167;23;62.0
Lycée Saint Joseph;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;Nice;BTS - Services - Gestion de la PME;24;192;122;10;83.0
Lycée Vert d'Azur Antibes;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;Antibes;BTS - Agricole - Aménagements paysagers;32;290;130;28;60.0
Lycée Marie Curie;Oise;Hauts-de-France;Amiens;Nogent-sur-Oise;FCIL classe passerelle BTS;20;0;11;2;
Iut De Troyes;Aube;Grand-Est;Reims;Troyes;Passerelle pour un BUT;24;85;52;24;70.0
IUT de Moselle Est - Site de Forbach - Université de Lorraine;Moselle;Grand-Est;Nancy-Metz;Forbach;BUT - Science et génie des matériaux;32;315;230;31;92.0
Université Côte d'Azur;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;Nice;Nice;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Italien;90;262;241;38;100.0
Lycée Mémona Hintermann-Afféjee;La Réunion;Réunion;La Réunion;Saint-Denis;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;15;216;55;15;56.0
